"A total of %1 indexer(s) have been turned Update by Schedule mode on.","Um total de %1 indexador(es) foram alterados para o modo Atualizar por Agendamento."
"A total of %1 indexer(s) have been turned Update on Save mode on.","Um total de %1 indexador(es) foram alterados para o modo Atualizar ao Salvar."
"Description","Descrição"
"Index Management","Gerenciar Indices"
"Indexer","Indexar"
"Indexer Management","Gerenciar Indexadores"
"Mode","Modo"
"Never","Nunca"
"Please select indexers.","Selecione os indexadores."
"Processing","Processando"
"Ready","Pronto"
"Reindex required","Obrigatório Reindexar"
"State for the same indexer","Para o mesmo indexador"
"State for the same view","Para mesma visão"
"Status","Status"
"Update by Schedule","Atualizar por Agendamento"
"Update on Save","Atualizar ao Salvar"
"Updated","Atualizado"
"We couldn't change indexer(s)' mode because of an error.","Um erro impediu a mudança no modo de indexar."