"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Temas e Módulos são componentes essenciais do ecossistema Magento. Visite o Marktplace do Magento para ver as últimas novidades criadas por desenvolvedores para aprimorar sua loja Magento."
"Featured Platinum Partners","Partners Platinum em Destaque"
"Find Partners & Extensions","Procurar Partners & Extensions"
"Magento Marketplace","Magento Marketplace"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento possui um próspeto ecossistema de parceiros de tecnologia para ajudar marcas e comerciantes à oferecerem as melhores experiências possíveis aos clientes. Eles são especialistas em Ecommerce, SEO, email marketing, meios de pagamentos, impostos, análise de riscos, monitoramento de dados, etc. Visite o diretório de parceiros da Magento para encontrar nossos parceiros de confiança."
"More Partners","Mais Partners"
"No partners were found","Nenhum partners encontrado"
"Partner Page","Página de Partner"
"Partner search","Encontrar Partner"
"Platinum Partners","Partners Platinum"
"Read More","Continuar Lendo"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","O mais alto nível de partner da Magento, os Partners Platinum Magento se estabeleceram como líderes de mercado, inovadores de produtos, e serviços essenciais destinados à ajudar as marcas e comerciantes à crescerem. Magento reserva o nível Platinum para parceiros de confiança, que estão comprometidos em oferecer integrações, recursos, funções, e ferramentas para Ecommerce, bem como operações e sistemas de suporte para extender e melhorar o poder da plataforma Magento."
"Visit Magento Marketplaces","Visite Marketplaces do Magento"