"Access list","Lista de Acessos"
"Backend host","Backend host"
"Backend port","Backend porta"
"Built-in Application (Not Recommended for Production Use)","Aplicação Built-in (Não Recomendado para Ambiente de Produção)"
"Caching Application","Caching Application"
"Export VCL","Exportar VCL"
"Full Page Cache","Cache de Página Completo"
"Full page caching.","Página totalmente em cache."
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Lista de IPs de acesso separados por ',' que podem limpar a configuração do Varnish para gerar um novo arquivo de configuração.
                            Se o campo estiver vazio o valor padrão localhost será utilizado."
"Page Cache","Cache de Página"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved. ","Ciclo de vida do cache com conteúdo público em segundos. Se o campo estiver vazio o valor padrão 86400 será utilizado. "
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Informe uma porta backend para gerar o arquivo de configuração. Se o campo estiver vazio o valor padrão 8080 será utilizado."
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Informe um host backend para gerar o arquivo de configuração. Se o campo estiver vazio o valor padrão localhost será utilizado."
"TTL for public content","TTL para conteúdo público"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Valor Ttl ""%1"" não é válido. Use apenas números que sejam igual ou maior que zero."
"Varnish Caching","Varnish Caching"
"Varnish Configuration","Configuração do Varnish"